President,Birthplace,State of birth,Latitude,Longitude,Date of birth,In office
George Washington,Westmoreland County,Virginia,38.1127,-76.7798,"February 22, 1732","(1st) April 30, 1789 – March 4, 1797"
John Adams,Braintree,Massachusetts,42.2039,-71.0022,"October 30, 1735","(2nd) March 4, 1797 – March 4, 1801"
Thomas Jefferson,Shadwell,Virginia,38.0129,-78.3956,"April 13, 1743","(3rd) March 4, 1801 – March 4, 1809"
James Madison,Port Conway,Virginia,38.1774,-77.1861,"March 16, 1751","(4th) March 4, 1809 – March 4, 1817"
James Monroe,Monroe Hall,Virginia,38.2369,-76.994,"April 28, 1758","(5th) March 4, 1817 – March 4, 1825"
Andrew Jackson,Waxhaws,South Carolina,34.9246,-80.7434,"March 15, 1767","(7th) March 4, 1829 – March 4, 1837"
John Quincy Adams,Braintree,Massachusetts,42.2039,-71.0022,"July 11, 1767","(6th) March 4, 1825 – March 4, 1829"
William Henry Harrison,Charles City,Virginia,37.3441,-77.0687,"February 9, 1773","(9th) March 4, 1841 – April 4, 1841"
Martin Van Buren,Kinderhook,New York,39.7037,-91.1526,"December 5, 1782","(8th) March 4, 1837 – March 4, 1841"
Zachary Taylor,Barboursville,Virginia,38.4061,-82.297,"November 24, 1784","(12th) March 4, 1849 – July 9, 1850"
John Tyler,Charles City,Virginia,37.3441,-77.0687,"March 29, 1790","(10th) April 4, 1841 – March 4, 1845"
James Buchanan,Cove Gap,Pennsylvania,39.8659,-77.9425,"April 23, 1791","(15th) March 4, 1857 – March 4, 1861"
James K. Polk,Pineville,North Carolina,31.3414,-92.4096,"November 2, 1795","(11th) March 4, 1845 – March 4, 1849"
Millard Fillmore,Summerhill,New York,40.3765,-78.7616,"January 7, 1800","(13th) July 9, 1850 – March 4, 1853"
Franklin Pierce,Hillsborough,New Hampshire,37.5573,-122.3587,"November 23, 1804","(14th) March 4, 1853 – March 4, 1857"
Andrew Johnson,Raleigh,North Carolina,35.8325,-78.6435,"December 29, 1808","(17th) April 15, 1865 – March 4, 1869"
Abraham Lincoln,Hodgenville,Kentucky,37.5668,-85.7353,"February 12, 1809","(16th) March 4, 1861 – April 15, 1865"
Ulysses S. Grant,Point Pleasant,Ohio,40.0772,-74.0702,"April 27, 1822","(18th) March 4, 1869 – March 4, 1877"
Rutherford B. Hayes,Delaware,Ohio,40.2866,-83.0747,"October 4, 1822","(19th) March 4, 1877 – March 4, 1881"
Chester A. Arthur,Fairfield,Vermont,38.2592,-122.0324,"October 5, 1829","(21st) September 19, 1881 – March 4, 1885"
James A. Garfield,Moreland Hills,Ohio,41.4422,-81.4294,"November 19, 1831","(20th) March 4, 1881 – September 19, 1881"
Benjamin Harrison,North Bend,Ohio,43.4075,-124.2364,"August 20, 1833","(23rd) March 4, 1889 – March 4, 1893"
Grover Cleveland,Caldwell,New Jersey,43.6453,-116.6591,"March 18, 1837","(22nd) March 4, 1885 – March 4, 1889, (24th) March 4, 1893 – March 4, 1897"
William McKinley,Niles,Ohio,42.0278,-87.8099,"January 29, 1843","(25th) March 4, 1897 – September 14, 1901"
Woodrow Wilson,Staunton,Virginia,38.1593,-79.0611,"December 28, 1856","(28th) March 4, 1913 – March 4, 1921"
William Howard Taft,Cincinnati,Ohio,39.1413,-84.5061,"September 15, 1857","(27th) March 4, 1909 – March 4, 1913"
Theodore Roosevelt,Manhattan,New York,40.7834,-73.9662,"October 27, 1858","(26th) September 14, 1901 – March 4, 1909"
Warren G. Harding,Blooming Grove,Ohio,32.0924,-96.7173,"November 2, 1865","(29th) March 4, 1921 – August 2, 1923"
Calvin Coolidge,Plymouth,Vermont,45.0225,-93.4618,"July 4, 1872","(30th) August 2, 1923 – March 4, 1929"
Herbert Hoover,West Branch,Iowa,41.6662,-91.3442,"August 10, 1874","(31st) March 4, 1929 – March 4, 1933"
Franklin D. Roosevelt,Hyde Park,New York,41.8008,-111.8119,"January 30, 1882","(32nd) March 4, 1933 – April 12, 1945"
Harry S. Truman,Lamar,Missouri,38.0739,-102.6153,"May 8, 1884","(33rd) April 12, 1945 – January 20, 1953"
Dwight D. Eisenhower,Denison,Texas,33.7672,-96.5807,"October 14, 1890","(34th) January 20, 1953 – January 20, 1961"
Lyndon B. Johnson,Stonewall,Texas,32.2715,-93.81,27-Aug-08,"(36th) November 22, 1963 – January 20, 1969"
Ronald Reagan,Tampico,Illinois,41.6308,-89.785,6-Feb-11,"(40th) January 20, 1981 – January 20, 1989"
Richard Nixon,Yorba Linda,California,33.889,-117.7714,9-Jan-13,"(37th) January 20, 1969 – August 9, 1974"
Gerald Ford,Omaha,Nebraska,41.2627,-96.0522,14-Jul-13,"(38th) August 9, 1974 – January 20, 1977"
John F. Kennedy,Brookline,Massachusetts,42.3318,-71.1212,29-May-17,"(35th) January 20, 1961 – November 22, 1963"
George H. W. Bush,Milton,Massachusetts,34.1353,-84.3138,12-Jun-24,"(41st) January 20, 1989 – January 20, 1993"
Jimmy Carter,Plains,Georgia,33.1896,-102.8272,1-Oct-24,"(39th) January 20, 1977 – January 20, 1981"
Joseph R. Biden,Scranton,Pennsylvania,41.4044,-75.6649,20-Nov-42,"(46th) January 20, 2021 – present"
Donald Trump,Queens,New York,40.7498,-73.7976,14-Jun-46,"(45th) January 20, 2017 – January 20, 2021"
George W. Bush,New Haven,Connecticut,41.3112,-72.9246,6-Jul-46,"(43rd) January 20, 2001 – January 20, 2009"
Bill Clinton,Hope,Arkansas,33.6682,-93.5895,19-Aug-46,"(42nd) January 20, 1993 – January 20, 2001"
Barack Obama,Honolulu,Hawaii,21.3294,-157.846,4-Aug-61,"(44th) January 20, 2009 – January 20, 2017"
